intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,0.18,-0.2728421551052345,0.6343090334936106,0.23,0.78,702.99,0.434,0.869,
acc_phonL*H,acc_phonH*,0.15,-0.20753494367488437,0.5087694479561854,0.18,0.83,706.22,0.409,0.84,
acc_phon>H*,acc_phonH*,-0.03,-0.5090267554457678,0.44879436262976374,0.24,-0.12,701.32,0.902,0.991,
ana_syls0,ana_syls1,0.42,-3.3888223875562056,4.230267605660746,1.24,0.34,3.2,0.755,0.96,
ana_syls0,ana_syls2,-0.14,-6.5260601394491875,6.24177705574842,1.78,-0.08,2.49,0.942,0.991,
ana_syls0,ana_syls3,-0.79,-7.168074230862532,5.586140478865655,1.78,-0.44,2.5,0.693,0.96,
ana_syls1,ana_syls2,-0.56,-6.275091110198766,5.149359412915383,1.31,-0.43,1.97,0.71,0.96,
ana_syls1,ana_syls3,-1.21,-6.916975845962356,4.493593366206087,1.31,-0.93,1.97,0.454,0.875,
ana_syls2,ana_syls3,-0.65,-1.1859997895562775,-0.11165095210040754,0.27,-2.37,701.14,0.018,0.121,
foot_syls1,foot_syls2,0.46,-5.383735577754031,6.296685083013777,1.26,0.36,1.86,0.755,0.96,
foot_syls1,foot_syls3,0.64,-6.177064923124534,7.458077596438904,1.38,0.46,1.75,0.693,0.96,
foot_syls1,foot_syls4,0.39,-5.366926883558022,6.144940280759024,1.55,0.25,2.37,0.822,0.986,
foot_syls2,foot_syls3,0.18,-4.231285264606846,4.599350083907307,1.14,0.16,2.25,0.885,0.991,
foot_syls2,foot_syls4,-0.07,-4.206512789808968,4.071579585608613,1.31,-0.05,3.03,0.962,0.991,
foot_syls3,foot_syls4,-0.25,-4.513980828682322,4.01098153966069,1.13,-0.22,2.33,0.842,0.991,
wrd_end_syl1,wrd_end_syl2,1.15,-1.152859318102477,3.443730754108798,0.88,1.3,4.8,0.253,0.719,
wrd_end_syl1,wrd_end_syl3,-0.36,-2.811262755798015,2.091347435518893,1.07,-0.34,8.28,0.745,0.96,
wrd_end_syl2,wrd_end_syl3,-1.51,-2.7155079888684166,-0.295285024644921,0.61,-2.48,68.29,0.016,0.112,
intercept,pn_new_wordTRUE,-0.428,-4.363273952706294,3.5068926662301467,1.316,-0.325,3.38,0.764,0.96,
